LOCATION,Country,INDICATOR,Indicator,SEX,Sex,AGE,Age,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,67.871,,
AUS,Australia,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,41.324,,
AUS,Australia,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,65.745,,
AUS,Australia,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,57.703,,
AUT,Austria,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,61.505,,
AUT,Austria,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,48.044,,
AUT,Austria,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,54.498,,
AUT,Austria,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,64.462,,
BEL,Belgium,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,32.129,,
BEL,Belgium,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,43.878,,
BEL,Belgium,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,54.741,,
BEL,Belgium,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,39.823,,
BRA,Brazil,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,16.677,,
BRA,Brazil,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,20.995,,
BRA,Brazil,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,25.914,,
BRA,Brazil,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,24.219,,
CAN,Canada,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,64.711,,
CAN,Canada,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,49.541,,
CAN,Canada,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,73.296,,
CAN,Canada,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,59.136,,
CHL,Chile,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,29.034,,
CHL,Chile,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,18.017,,
CHL,Chile,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,31.544,,
CHL,Chile,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,26.699,,
CHN,China (People's Republic of),GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,27.734,,
CHN,China (People's Republic of),GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,17.004,,
CHN,China (People's Republic of),GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,20.551,,
CHN,China (People's Republic of),GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,32.997,,
CZE,Czech Republic,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,26.123,,
CZE,Czech Republic,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,20.133,,
CZE,Czech Republic,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,36.834,,
CZE,Czech Republic,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,23.433,,
DNK,Denmark,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,51.747,,
DNK,Denmark,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,35.701,,
DNK,Denmark,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,60.287,,
DNK,Denmark,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,45.574,,
EST,Estonia,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,64.07,,
EST,Estonia,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,27.88,,
EST,Estonia,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,62.556,,
EST,Estonia,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,33.677,,
FIN,Finland,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,85.106,,
FIN,Finland,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,27.641,,
FIN,Finland,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,45.014,,
FIN,Finland,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,87.493,,
FRA,France,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,16.934,,
FRA,France,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,28.044,,
FRA,France,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,40.081,,
FRA,France,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,26.747,,
DEU,Germany,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,38.273,,
DEU,Germany,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,31.809,,
DEU,Germany,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,53.889,,
DEU,Germany,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,48.563,,
GRC,Greece,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,8.219,,
GRC,Greece,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,24.11,,
GRC,Greece,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,33.177,,
GRC,Greece,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,9.726,,
HUN,Hungary,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,36.274,,
HUN,Hungary,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,13.196,,
HUN,Hungary,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,36.377,,
HUN,Hungary,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,15.967,,
ISL,Iceland,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,65.156,,
ISL,Iceland,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,25.728,,
ISL,Iceland,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,34.692,,
ISL,Iceland,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,71.744,,
IND,India,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,13.303,,
IND,India,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,9.656,,
IND,India,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,18.216,,
IND,India,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,13.295,,
IDN,Indonesia,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,18.189,,
IDN,Indonesia,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,34.021,,
IDN,Indonesia,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,32.456,,
IDN,Indonesia,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,43.572,,
IRL,Ireland,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,58.896,,
IRL,Ireland,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,22.866,,
IRL,Ireland,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,69.387,,
IRL,Ireland,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,40.322,,
ISR,Israel,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,28.553,,
ISR,Israel,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,33.229,,
ISR,Israel,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,43.451,,
ISR,Israel,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,35.944,,
ITA,Italy,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,12.26,,
ITA,Italy,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,4.475,,
ITA,Italy,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,10.215,,
ITA,Italy,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,19.09,,
JPN,Japan,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,21.578,,
JPN,Japan,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,17.122,,
JPN,Japan,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,31.332,,
JPN,Japan,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,33.982,,
KOR,Korea,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,29.385,,
KOR,Korea,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,42.434,,
KOR,Korea,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,35.585,,
KOR,Korea,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,45.744,,
LUX,Luxembourg,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,38.25,,
LUX,Luxembourg,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,42.175,,
LUX,Luxembourg,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,61.244,,
LUX,Luxembourg,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,44.279,,
MEX,Mexico,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,16.5,,
MEX,Mexico,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,17.232,,
MEX,Mexico,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,15.081,,
MEX,Mexico,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,16.401,,
NLD,Netherlands,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,47.352,,
NLD,Netherlands,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,31.257,,
NLD,Netherlands,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,37.8,,
NLD,Netherlands,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,58.298,,
NZL,New Zealand,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,72.041,,
NZL,New Zealand,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,46.301,,
NZL,New Zealand,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,74.845,,
NZL,New Zealand,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,54.399,,
POL,Poland,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,20.858,,
POL,Poland,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,30.089,,
POL,Poland,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,39.868,,
POL,Poland,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,24.648,,
PRT,Portugal,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,49.462,,
PRT,Portugal,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,19.528,,
PRT,Portugal,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,54.4,,
PRT,Portugal,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,24.975,,
RUS,Russia,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,21.303,,
RUS,Russia,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,34.494,,
RUS,Russia,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,45.221,,
RUS,Russia,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,30.269,,
SVK,Slovak Republic,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,28.067,,
SVK,Slovak Republic,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,13.986,,
SVK,Slovak Republic,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,38.069,,
SVK,Slovak Republic,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,20.066,,
SVN,Slovenia,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,64.15,,
SVN,Slovenia,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,16.752,,
SVN,Slovenia,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,26.383,,
SVN,Slovenia,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,68.033,,
ZAF,South Africa,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,26.577,,
ZAF,South Africa,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,28.658,,
ZAF,South Africa,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,31.24,,
ZAF,South Africa,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,30.806,,
ESP,Spain,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,46.755,,
ESP,Spain,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,18.521,,
ESP,Spain,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,54.831,,
ESP,Spain,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,24.345,,
SWE,Sweden,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,64.65,,
SWE,Sweden,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,41.293,,
SWE,Sweden,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,49.678,,
SWE,Sweden,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,61.573,,
TUR,Turkey,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,17.712,,
TUR,Turkey,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,12.203,,
TUR,Turkey,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,34.736,,
TUR,Turkey,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,21.157,,
GBR,United Kingdom,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,27.406,,
GBR,United Kingdom,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,50.243,,
GBR,United Kingdom,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,54.717,,
GBR,United Kingdom,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,46.397,,
USA,United States,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,60.347,,
USA,United States,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,36.959,,
USA,United States,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,66.22,,
USA,United States,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,35.327,,
